,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off,Trial_ID
93,sub003,7,96,186,D,0.0,,2,0.31667527899980996,,192.00816295100003,193.02492174300005,193.92483598599983,32
94,sub003,7,97,188,,0,,,,,,,,
95,sub003,7,98,190,C,0.0,,1,0.28333542000018497,,196.00820256299994,197.02495640799998,197.9248830900001,33
96,sub003,7,99,192,,0,,,,,,,,
97,sub003,7,100,194,A,0.0,,1,0.31667776099993716,,200.0082446450001,201.02502153399973,201.92492585799982,34
98,sub003,7,101,196,,0,,,,,,,,
99,sub003,7,102,198,,0,,,,,,,,
100,sub003,7,103,200,B,0.0,,2,0.3500213590000385,,206.00830079299976,207.02506968999978,207.9250294630001,35
101,sub003,7,104,202,,0,,,,,,,,
102,sub003,7,105,204,,0,,,,,,,,
103,sub003,7,106,206,C,0.0,,1,0.16667962800011082,,212.0083664929998,213.025129267,213.92505498399987,36
104,sub003,7,107,208,,0,,,,,,,,
105,sub003,7,108,210,D,0.0,,2,0.4003436600000896,,216.00840445899985,217.02517243900002,217.9250865089998,37
106,sub003,7,109,212,,0,,,,,,,,
107,sub003,7,110,214,,0,,,,,,,,
108,sub003,7,111,216,,0,,,,,,,,
109,sub003,7,112,218,C,0.0,,1,0.3333395829999972,,224.00849168700006,225.02528168799972,225.925175114,38
110,sub003,7,113,220,,0,,,,,,,,
111,sub003,7,114,222,,0,,,,,,,,
112,sub003,7,115,224,D,0.0,,2,0.3333314349997636,,230.00856883200004,231.02531941999996,231.92524224599993,39
113,sub003,7,116,226,,0,,,,,,,,
114,sub003,7,117,228,A,0.0,,1,0.6166812239998762,,234.00859703200013,235.025366673,235.92527819399993,40
115,sub003,7,118,230,,0,,,,,,,,
116,sub003,7,119,232,,0,,,,,,,,
117,sub003,7,120,234,B,0.0,,2,0.38336745900005553,,240.00865485899976,241.02542229499977,241.92534535999994,41
